ID,Descrip,Energy,Protein,Fat,Carbohydrate,Sugar,Fiber,Vitamin A,Vitamin B-6,Vitamin B-12,Vitamin C,Vitamin E,Folate,Niacin,Riboflavin,Thiamin,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Selenium,Zinc,FoV
11745,"Brussels sprouts, cooked, boiled, drained, with salt",36,2.55,0.5,7.1,1.74,2.6,39,0.178,0,62,0.43,60,0.607,0.08,0.107,36,0.083,1.2,20,0.227,56,1.5,0.33,Vegetable
11746,"Brussels sprouts, frozen, cooked, boiled, drained, with salt",42,3.64,0.39,8.32,2.08,4.1,46,0.289,0,45.7,0.51,101,0.537,0.113,0.103,26,0.034,0.48,18,0.206,56,0.6,0.24,Vegetable
11747,"Burdock root, cooked, boiled, drained, with salt",88,2.09,0.14,21.15,3.55,1.8,0,0.279,0,2.6,0.46,20,0.32,0.058,0.039,49,0.089,0.77,39,0.27,93,0.9,0.38,Vegetable
11748,"Butterbur, cooked, boiled, drained, with salt",8,0.23,0.02,2.16,0,0,1,0.052,0,18.9,0,4,0.1,0.01,0.01,59,0.059,0.1,8,0.156,7,0.9,0.09,Vegetable
11749,"Cabbage, common (danish, domestic, and pointed types), freshly harvest, raw",24,1.21,0.18,5.37,0,2.3,6,0.095,0,51,0,57,0.3,0.03,0.05,47,0.023,0.56,15,0.159,23,0.9,0.18,Vegetable
11750,"Cabbage, common (danish, domestic, and pointed types), stored, raw",24,1.21,0.18,5.37,0,2.3,6,0.095,0,42,0,57,0.3,0.03,0.05,47,0.023,0.56,15,0.159,23,0.9,0.18,Vegetable
11751,"Cabbage, common, cooked, boiled, drained, with salt",23,1.27,0.06,5.51,2.79,1.9,4,0.112,0,37.5,0.14,30,0.248,0.038,0.061,48,0.017,0.17,15,0.205,33,0.6,0.2,Vegetable
11752,"Cabbage, red, cooked, boiled, drained, with salt",29,1.51,0.09,6.94,3.32,2.6,2,0.225,0,10.8,0.12,24,0.382,0.06,0.071,42,0.054,0.66,17,0.223,33,2.3,0.25,Vegetable
11753,"Cabbage, savoy, cooked, boiled, drained, with salt",24,1.8,0.09,5.41,0,2.8,44,0.152,0,17,0,46,0.024,0.02,0.051,30,0.052,0.38,24,0.152,33,0.7,0.23,Vegetable
11754,"Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt",12,1.56,0.16,1.78,0.83,1,212,0.166,0,26,0.09,41,0.428,0.063,0.032,93,0.019,1.04,11,0.144,29,0.4,0.17,Vegetable
11755,"Cabbage, chinese (pe-tsai), cooked, boiled, drained, with salt",14,1.5,0.17,2.41,0,1.7,48,0.177,0,15.8,0,53,0.5,0.044,0.044,32,0.029,0.3,10,0.153,39,0.4,0.18,Vegetable
11756,"Cardoon, cooked, boiled, drained, with salt",20,0.76,0.11,4.74,0,1.7,0,0.042,0,1.7,0,22,0.294,0.031,0.018,72,0.029,0.73,43,0.133,23,1,0.18,Vegetable
11757,"Carrots, cooked, boiled, drained, with salt",35,0.76,0.18,8.22,3.45,3,852,0.153,0,3.6,1.03,2,0.645,0.044,0.066,30,0.017,0.34,10,0.155,30,0.7,0.2,Vegetable
11758,"Carrots, canned, no salt added, solids and liquids",23,0.59,0.14,5.36,2.46,1.8,558,0.112,0,2,0.73,8,0.421,0.027,0.019,31,0.103,0.52,9,0.45,20,0.4,0.29,Vegetable
11759,"Carrots, canned, no salt added, drained solids",25,0.64,0.19,5.54,2.48,1.5,558,0.112,0,2.7,0.74,9,0.552,0.03,0.018,25,0.104,0.64,8,0.45,24,0.4,0.26,Vegetable
11760,"Carrots, frozen, cooked, boiled, drained, with salt",37,0.58,0.68,7.73,4.08,3.3,846,0.084,0,2.3,1.01,11,0.416,0.037,0.03,35,0.082,0.53,11,0.167,31,0.6,0.35,Vegetable
11761,"Cauliflower, cooked, boiled, drained, with salt",23,1.84,0.45,4.11,1.86,2.3,1,0.173,0,44.3,0.07,44,0.41,0.052,0.042,16,0.018,0.32,9,0.132,32,0.6,0.17,Vegetable
11762,"Cauliflower, frozen, cooked, boiled, drained, with salt",17,1.61,0.22,3.16,0.46,2.7,0,0.088,0,31.3,0.06,41,0.31,0.053,0.037,17,0.024,0.41,9,0.15,24,0.6,0.13,Vegetable
11763,"Celeriac, cooked, boiled, drained, with salt",27,0.96,0.19,5.9,0,0,0,0.101,0,3.6,0,3,0.427,0.037,0.027,26,0.043,0.43,12,0.096,66,0.4,0.2,Vegetable
11764,"Celery, cooked, boiled, drained, with salt",18,0.83,0.16,4,2.37,1.6,26,0.086,0,6.1,0.35,22,0.319,0.047,0.043,42,0.036,0.42,12,0.106,25,1,0.14,Vegetable
11765,"Chard, swiss, cooked, boiled, drained, with salt",20,1.88,0.08,4.13,1.1,2.1,306,0.085,0,18,1.89,9,0.36,0.086,0.034,58,0.163,2.26,86,0.334,33,0.9,0.33,Vegetable
11766,"Chayote, fruit, cooked, boiled, drained, with salt",22,0.62,0.48,4.5,0,2.8,2,0.118,0,8,0,18,0.42,0.04,0.026,13,0.11,0.22,12,0.169,29,0.3,0.31,Vegetable
11767,"Chrysanthemum, garland, cooked, boiled, drained, with salt",20,1.64,0.09,4.31,2.01,2.3,129,0.118,0,23.9,2.5,50,0.72,0.16,0.021,69,0.133,3.74,18,0.355,43,0.3,0.2,Vegetable
11768,"Collards, cooked, boiled, drained, with salt",33,2.71,0.72,5.65,0,4,380,0.128,0,18.2,0.88,16,0.575,0.106,0.04,141,0.051,1.13,21,0.51,32,0.5,0.23,Vegetable
11769,"Collards, frozen, chopped, cooked, boiled, drained, with salt",36,2.97,0.41,7.1,0.57,2.8,575,0.114,0,26.4,1.25,76,0.635,0.115,0.047,210,0.055,1.12,30,0.663,27,1.5,0.27,Vegetable
11770,"Corn, sweet, yellow, cooked, boiled, drained, with salt",96,3.41,1.5,20.98,4.54,2.4,13,0.139,0,5.5,0.09,23,1.683,0.057,0.093,3,0.049,0.45,26,0.167,77,0.2,0.62,Vegetable
11771,"Corn, sweet, yellow, canned, no salt added, solids and liquids",61,1.95,0.77,13.86,3.18,1.7,2,0.037,0,2.6,0.03,38,0.884,0.015,0.015,4,0.028,0.36,15,0.082,46,0.5,0.39,Vegetable
11772,"Corn, sweet, yellow, canned, cream style, no salt added",72,1.74,0.42,18.13,3.23,1.2,4,0.063,0,4.6,0.07,45,0.96,0.053,0.025,3,0.052,0.38,17,0.039,51,0.4,0.53,Vegetable
11773,"Corn, sweet, yellow, canned, vacuum pack, no salt added",79,2.41,0.5,19.44,3.56,2,4,0.055,0,8.1,0.04,49,1.167,0.073,0.041,5,0.048,0.42,23,0.067,64,0.7,0.46,Vegetable
11774,"Corn, sweet, yellow, frozen, kernels, cut off cob, boiled, drained, with salt",79,2.55,0.67,18.71,3.07,2.4,10,0.099,0,3.5,0.07,35,1.311,0.062,0.03,3,0.048,0.47,28,0.155,79,0.7,0.63,Vegetable
11775,"Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, with salt",94,3.11,0.74,22.33,3.59,2.8,12,0.224,0,4.8,0.08,31,1.517,0.069,0.174,3,0.046,0.61,29,0.142,75,0.7,0.63,Vegetable
11777,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, with salt",94,3.17,0.38,19.73,3.23,5,40,0.065,0,2.2,0.22,127,1.403,0.148,0.101,128,0.133,1.12,52,0.572,51,2.5,1.03,Vegetable
11778,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, with salt",131,8.49,0.66,23.5,4.46,6.4,4,0.095,0,2.6,0.3,141,0.728,0.064,0.26,23,0.184,2.12,50,0.791,122,3.4,1.42,Vegetable
11779,"Cowpeas, young pods with seeds, cooked, boiled, drained, with salt",34,2.6,0.3,7,0,0,70,0.123,0,17,0,26,0.8,0.09,0.09,55,0.071,0.7,41,0.219,49,0.7,0.24,Vegetable
11780,"Cowpeas, leafy tips, cooked, boiled, drained, with salt",22,4.67,0.1,2.8,0,0,29,0.135,0,18.4,0,60,1.008,0.142,0.256,69,0.154,1.09,62,0.412,42,0.9,0.24,Vegetable
11781,"Cress, garden, cooked, boiled, drained, with salt",23,1.9,0.6,3.8,3.11,0.7,232,0.157,0,23,0.5,37,0.8,0.16,0.06,61,0.114,0.8,26,0.372,48,0.9,0.15,Vegetable
11782,"Dandelion greens, cooked, boiled, drained, with salt",33,2,0.6,6.4,1.62,2.9,727,0.16,0,18,0.6,13,0.514,0.175,0.13,140,0.115,1.8,24,0.23,42,0.3,0.28,Vegetable
11783,"Eggplant, cooked, boiled, drained, with salt",33,0.83,0.23,8.14,3.2,2.5,2,0.086,0,1.3,0.41,14,0.6,0.02,0.076,6,0.059,0.25,11,0.113,15,0.1,0.12,Vegetable
11784,"Gourd, white-flowered (calabash), cooked, boiled, drained, with salt",13,0.6,0.02,3.1,0,1.2,0,0.038,0,8.5,0,4,0.39,0.022,0.029,24,0.026,0.25,11,0.066,13,0.2,0.7,Vegetable
11785,"Gourd, dishcloth (towelgourd), cooked, boiled, drained, with salt",54,0.66,0.34,13.75,5.17,2.9,0,0.099,0,5.7,0.24,12,0.26,0.042,0.046,9,0.085,0.36,20,0.223,31,0.2,0.17,Vegetable
11786,"Drumstick leaves, cooked, boiled, drained, with salt",60,5.27,0.93,11.15,1,2,351,0.929,0,31,0.1,23,1.995,0.509,0.222,151,0.086,2.32,151,0.868,67,0.9,0.49,Vegetable
11787,"Drumstick pods, cooked, boiled, drained, with salt",36,2.09,0.19,8.18,0,4.2,4,0.112,0,97,0,30,0.59,0.068,0.046,20,0.078,0.45,42,0.241,49,0.7,0.42,Vegetable
11788,"Hyacinth-beans, immature seeds, cooked, boiled, drained, with salt",50,2.95,0.27,9.2,0,0,7,0.023,0,5.1,0,47,0.48,0.088,0.056,41,0.048,0.76,42,0.21,49,1.6,0.38,Vegetable
11789,"Jute, potherb, cooked, boiled, drained, with salt",37,3.68,0.2,7.29,1,2,259,0.57,0,33,0.07,104,0.89,0.192,0.091,211,0.255,3.14,62,0.123,72,0.9,0.79,Vegetable
11790,"Kale, cooked, boiled, drained, with salt",28,1.9,0.4,5.63,1.25,2,681,0.138,0,41,0.85,13,0.5,0.07,0.053,72,0.156,0.9,18,0.416,28,0.9,0.24,Vegetable
11791,"Kale, frozen, cooked, boiled, drained, with salt",30,2.84,0.49,5.23,1.34,2,735,0.086,0,25.2,0.92,14,0.672,0.114,0.043,138,0.047,0.94,18,0.45,28,0.9,0.18,Vegetable
11792,"Kale, scotch, cooked, boiled, drained, with salt",28,1.9,0.41,5.62,0,0,100,0.139,0,52.8,0,13,0.792,0.039,0.04,132,0.156,1.93,57,0.417,38,0.9,0.24,Vegetable
11793,"Kohlrabi, cooked, boiled, drained, with salt",29,1.8,0.11,6.69,2.8,1.1,2,0.154,0,54,0.52,12,0.39,0.02,0.04,25,0.132,0.4,19,0.142,45,0.8,0.31,Vegetable
11794,"Lambs quarters, cooked, boiled, drained, with salt",32,3.2,0.7,5,0.62,2.1,391,0.174,0,37,0,14,0.9,0.26,0.1,258,0.197,0.7,23,0.525,45,0.9,0.3,Vegetable
11795,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, with salt",31,0.81,0.2,7.62,2.11,1,41,0.113,0,4.2,0.5,24,0.2,0.02,0.026,30,0.062,1.1,14,0.247,17,0.5,0.06,Vegetable
11796,"Lotus root, cooked, boiled, drained, with salt",66,1.58,0.07,16.02,0,3.1,0,0.218,0,27.4,0,8,0.3,0.01,0.127,26,0.217,0.9,22,0.22,78,0.6,0.33,Vegetable
11797,"Mushrooms, white, cooked, boiled, drained, with salt",28,2.17,0.47,5.29,2.34,2.2,0,0.095,0,4,0.01,18,4.46,0.3,0.073,6,0.504,1.74,12,0.115,87,13.4,0.87,Vegetable
11798,"Mushrooms, shiitake, cooked, with salt",56,1.56,0.22,14.39,3.84,2.1,0,0.159,0,0.3,0,21,1.5,0.17,0.037,3,0.896,0.44,14,0.204,29,24.8,1.33,Vegetable
11799,"Mustard greens, cooked, boiled, drained, with salt",26,2.56,0.47,4.51,1.41,2,527,0.098,0,25.3,1.78,9,0.433,0.063,0.041,118,0.098,0.87,13,0,42,0.6,0.15,Vegetable
11800,"Mustard greens, frozen, cooked, boiled, drained, with salt",19,2.27,0.25,3.11,0.32,2.8,354,0.108,0,13.8,1.35,70,0.258,0.053,0.04,101,0.058,1.12,13,0.294,24,0.6,0.2,Vegetable
11801,"Mustard spinach, (tendergreen), cooked, boiled, drained, with salt",16,1.7,0.2,2.8,0,2,410,0.097,0,65,0,73,0.43,0.062,0.041,158,0.05,0.8,7,0.27,18,0.6,0.11,Vegetable
11802,"New zealand spinach, cooked, boiled, drained, with salt",12,1.3,0.17,2.13,0.25,1.4,0,0.237,0,16,1.23,8,0.39,0.107,0.03,48,0.077,0.66,32,0.526,22,0.9,0.31,Vegetable
11803,"Okra, cooked, boiled, drained, with salt",22,1.87,0.21,4.51,2.4,2.5,14,0.187,0,16.3,0.27,46,0.871,0.055,0.132,77,0.085,0.28,36,0.294,32,0.4,0.43,Vegetable
11804,"Okra, frozen, cooked, boiled, drained, with salt",34,1.63,0.24,6.41,2.87,2.1,15,0.037,0,9.6,0.32,100,0.616,0.096,0.073,74,0.076,0.52,40,0.844,37,0.6,0.49,Vegetable
11805,"Onions, cooked, boiled, drained, with salt",42,1.36,0.19,9.56,4.73,1.4,0,0.129,0,5.2,0.02,15,0.165,0.023,0.042,22,0.067,0.24,11,0.153,35,0.6,0.21,Vegetable
11806,"Onions, frozen, chopped, cooked, boiled, drained, with salt",26,0.77,0.1,6,2.9,1.7,0,0.069,0,2.6,0.01,13,0.139,0.025,0.023,16,0.019,0.3,6,0.071,19,0.4,0.07,Vegetable
11807,"Onions, frozen, whole, cooked, boiled, drained, with salt",26,0.71,0.05,6.11,2.9,1.4,0,0.07,0,5.1,0.01,13,0.132,0.018,0.016,27,0.024,0.34,8,0.04,2,0.4,0.09,Vegetable
11808,"Parsnips, cooked, boiled, drained, with salt",71,1.32,0.3,17.01,4.8,4,0,0.093,0,13,1,58,0.724,0.051,0.083,37,0.138,0.58,29,0.294,69,1.7,0.26,Vegetable
11809,"Peas, edible-podded, cooked, boiled, drained, with salt",40,3.27,0.23,6.46,3.99,2.8,52,0.144,0,47.9,0.39,29,0.539,0.076,0.128,42,0.077,1.97,26,0.168,55,0.7,0.37,Vegetable
11810,"Peas, edible-podded, frozen, cooked, boiled, drained, with salt",50,3.5,0.38,8.43,4.82,3.1,66,0.174,0,22,0.47,35,0.563,0.119,0.064,59,0.09,2.4,28,0.28,58,0.8,0.49,Vegetable
11811,"Peas, green, cooked, boiled, drained, with salt",84,5.36,0.22,15.63,5.93,5.5,40,0.216,0,14.2,0.14,63,2.021,0.149,0.259,27,0.173,1.54,39,0.525,117,1.9,1.19,Vegetable
11812,"Peas, green, canned, no salt added, solids and liquids",53,3.19,0.3,9.75,3.2,3.3,72,0.065,0,9.8,0.02,29,0.842,0.073,0.111,18,0.108,1.02,17,0.264,53,1.3,0.7,Vegetable
11813,"Peas, green, canned, no salt added, drained solids",69,4.42,0.35,12.58,4.16,4.1,27,0.064,0,9.6,0.03,44,0.732,0.078,0.121,20,0.082,0.95,17,0.303,67,1.7,0.71,Vegetable
11814,"Peas, green, frozen, cooked, boiled, drained, with salt",78,5.15,0.27,14.26,4.65,5.5,105,0.113,0,9.9,0.03,59,1.48,0.1,0.283,24,0.105,1.52,22,0.279,77,1,0.67,Vegetable
11815,"Peas, mature seeds, sprouted, cooked, boiled, drained, with salt",98,7.05,0.51,17.08,0,0,5,0.128,0,6.6,0,36,1.072,0.285,0.216,26,0.02,1.67,41,0.325,24,0.6,0.78,Vegetable
11816,"Peas and carrots, canned, no salt added, solids and liquids",38,2.17,0.27,8.48,2.83,3.3,343,0.088,0,6.6,0.38,18,0.581,0.053,0.074,23,0.103,0.75,14,0.357,46,0.9,0.58,Vegetable
11817,"Peas and carrots, frozen, cooked, boiled, drained, with salt",48,3.09,0.42,10.12,4.36,3.1,476,0.087,0,8.1,0.52,26,1.154,0.064,0.225,23,0.076,0.94,16,0.202,49,1.1,0.45,Vegetable
11818,"Peas and onions, frozen, cooked, boiled, drained, with salt",45,2.54,0.2,8.63,3.77,2.2,53,0.087,0,6.9,0.02,20,1.044,0.069,0.15,14,0.063,0.94,13,0.166,34,0.4,0.29,Vegetable
11819,"Peppers, hot chili, red, raw",40,1.87,0.44,8.81,5.3,1.5,48,0.506,0,143.7,0.69,23,1.244,0.086,0.072,14,0.129,1.03,23,0.187,43,0.5,0.26,Vegetable
11820,"Peppers, hot chili, red, canned, excluding seeds, solids and liquids",21,0.9,0.1,5.1,3.32,1.3,595,0.153,0,68,0.69,10,0.8,0.05,0.02,7,0.101,0.5,14,0.138,17,0.3,0.17,Vegetable
11821,"Peppers, sweet, red, raw",31,0.99,0.3,6.03,4.2,2.1,157,0.291,0,127.7,1.58,46,0.979,0.085,0.054,7,0.017,0.43,12,0.112,26,0.1,0.25,Vegetable
11822,"Peppers, sweet, green, cooked, boiled, drained, with salt",26,0.92,0.2,6.11,3.19,1.2,23,0.233,0,74.4,0.5,16,0.477,0.03,0.059,9,0.065,0.46,10,0.115,18,0.3,0.12,Vegetable
11823,"Peppers, sweet, red, cooked, boiled, drained, without salt",28,0.92,0.2,6.7,4.39,1.2,147,0.233,0,171,1.65,16,0.477,0.03,0.059,9,0.065,0.46,10,0.115,18,0.3,0.12,Vegetable
11824,"Peppers, sweet, red, cooked, boiled, drained, with salt",26,0.92,0.2,6.11,4.39,1.2,147,0.233,0,171,1.65,16,0.477,0.03,0.059,9,0.065,0.46,10,0.115,18,0.3,0.12,Vegetable
11825,"Peppers, sweet, green, frozen, chopped, cooked, boiled, drained, with salt",16,0.95,0.18,3.31,0,0.9,0,0.108,0,41.2,0,10,1.082,0.031,0.051,8,0.044,0.52,7,0.097,13,0.2,0.05,Vegetable
11826,"Pigeonpeas, immature seeds, cooked, boiled, drained, with salt",111,5.96,1.36,19.49,2.48,6.2,2,0.053,0,28.1,0.32,100,2.153,0.166,0.35,41,0.105,1.57,40,0.451,118,1.2,0.82,Vegetable
11827,"Pokeberry shoots, (poke), cooked, boiled, drained, with salt",20,2.3,0.4,3.1,1.6,1.5,435,0.111,0,82,0.85,9,1.1,0.25,0.07,53,0.126,1.2,14,0.336,33,0.9,0.19,Vegetable
11828,"Potatoes, baked, flesh and skin, with salt",93,2.5,0.13,21.15,1.18,2.2,1,0.311,0,9.6,0.04,28,1.41,0.048,0.064,15,0.118,1.08,28,0.219,70,0.4,0.36,Vegetable
11829,"Potatoes, baked, flesh, with salt",93,1.96,0.1,21.55,1.7,1.5,0,0.301,0,12.8,0.04,9,1.395,0.021,0.105,5,0.215,0.35,25,0.161,50,0.3,0.29,Vegetable
11830,"Potatoes, baked, skin, with salt",198,4.29,0.1,46.06,1.4,7.9,1,0.614,0,13.5,0.04,22,3.065,0.106,0.122,34,0.817,7.04,43,0.616,101,0.7,0.49,Vegetable
11831,"Potatoes, boiled, cooked in skin, flesh, with salt",87,1.87,0.1,20.13,0.87,2,0,0.299,0,13,0.05,10,1.439,0.02,0.106,5,0.188,0.31,22,0.138,44,0.3,0.3,Vegetable
11832,"Potatoes, boiled, cooked in skin, skin, with salt",78,2.86,0.1,17.2,0,3.3,0,0.239,0,5.2,0,10,1.222,0.036,0.032,45,0.878,6.07,30,1.338,54,0.3,0.44,Vegetable
11833,"Potatoes, boiled, cooked without skin, flesh, with salt",86,1.71,0.1,20.01,0.85,2,0,0.269,0,7.4,0.01,9,1.312,0.019,0.098,8,0.167,0.31,20,0.14,40,0.3,0.27,Vegetable
11834,"Potatoes, microwaved, cooked, in skin, flesh and skin, with salt",105,2.44,0.1,24.24,0,2.3,0,0.344,0,15.1,0,12,1.714,0.032,0.12,11,0.334,1.24,27,0.292,105,0.4,0.36,Vegetable
11835,"Potatoes, microwaved, cooked in skin, flesh, with salt",100,2.1,0.1,23.28,0,1.6,0,0.319,0,15.1,0,12,1.625,0.025,0.129,5,0.237,0.41,25,0.17,109,0.4,0.33,Vegetable
11836,"Potatoes, microwaved, cooked, in skin, skin with salt",132,4.39,0.1,29.63,0,5.5,0,0.492,0,15.3,0,17,2.22,0.075,0.071,46,0.882,5.94,37,0.98,82,0.5,0.51,Vegetable
11837,"Potatoes, frozen, whole, cooked, boiled, drained, with salt",63,1.98,0.13,13.93,0,1.4,0,0.202,0,9.4,0,8,1.326,0.025,0.102,7,0.078,0.84,11,0.185,26,0.2,0.25,Vegetable
11840,"Potatoes, frozen, french fried, par fried, cottage-cut, prepared, heated in oven, with salt",218,3.44,8.2,34.03,0,3.2,0,0.243,0,9.5,0,17,2.413,0.031,0.119,10,0.2,1.49,22,0.304,65,0.4,0.41,Vegetable
11841,"Potatoes, french fried, all types, salt not added in processing, frozen, oven-heated",172,2.66,5.22,28.71,0.28,2.6,0,0.184,0,13.3,0.11,0,2.218,0.031,0.128,12,0.135,0.74,26,0.21,97,0.2,0.38,Vegetable
11842,"Potatoes, french fried, all types, salt not added in processing, frozen, as purchased",150,2.24,4.66,24.81,0.2,1.9,0,0.178,0,17.3,0.1,0,2.038,0.048,0.098,9,0.093,0.62,21,0.158,83,0,0.35,Vegetable
11843,"Potatoes, au gratin, home-prepared from recipe using margarine",132,5.06,7.59,11.27,0,1.8,64,0.174,0,9.9,0,13,0.993,0.116,0.064,119,0.16,0.64,20,0.161,113,2.7,0.69,Vegetable
11844,"Potatoes, scalloped, home-prepared with margarine",88,2.87,3.68,10.78,0,1.9,33,0.178,0,10.6,0,13,1.053,0.092,0.069,57,0.163,0.57,19,0.166,63,1.6,0.4,Vegetable
11845,"Pumpkin, cooked, boiled, drained, with salt",18,0.72,0.07,4.31,2.08,1.1,288,0.044,0,4.7,0.8,9,0.413,0.078,0.031,15,0.091,0.57,9,0.089,30,0.2,0.23,Vegetable
11846,"Pumpkin, canned, with salt",34,1.1,0.28,8.09,3.3,2.9,778,0.056,0,4.2,1.06,12,0.367,0.054,0.024,26,0.107,1.39,23,0.149,35,0.4,0.17,Vegetable
11847,"Pumpkin, flowers, cooked, boiled, drained, with salt",15,1.09,0.08,3.18,2.4,0.9,87,0.05,0,5,0.04,41,0.31,0.032,0.018,37,0.1,0.88,25,0,34,0.9,0.1,Vegetable
11848,"Pumpkin leaves, cooked, boiled, drained, with salt",21,2.72,0.22,3.39,0.69,2.7,80,0.196,0,1,0.96,25,0.85,0.136,0.068,43,0.133,3.2,38,0.355,79,0.9,0.2,Vegetable
11849,"Purslane, cooked, boiled, drained, with salt",18,1.49,0.19,3.55,0,0,93,0.07,0,10.5,0,9,0.46,0.09,0.031,78,0.114,0.77,67,0.307,37,0.9,0.17,Vegetable
11850,"Radishes, oriental, cooked, boiled, drained, with salt",17,0.67,0.24,3.43,1.83,1.6,0,0.038,0,15.1,0,17,0.15,0.023,0,17,0.101,0.15,9,0.033,24,0.7,0.13,Vegetable
11851,"Rutabagas, cooked, boiled, drained, with salt",30,0.93,0.18,6.84,3.95,1.8,0,0.102,0,18.8,0.24,15,0.715,0.041,0.082,18,0.029,0.18,10,0.097,41,0.7,0.12,Vegetable
11852,"Salsify, cooked, boiled, drained, with salt",68,2.73,0.17,15.36,2.9,3.1,0,0.218,0,4.6,0.19,15,0.392,0.173,0.056,47,0.07,0.55,18,0.21,56,0.6,0.3,Vegetable
11853,"Soybeans, green, cooked, boiled, drained, with salt",141,12.35,6.4,11.05,0,4.2,8,0.06,0,17,0,111,1.25,0.155,0.26,145,0.117,2.5,60,0.502,158,1.4,0.91,Vegetable
11854,"Spinach, cooked, boiled, drained, with salt",23,2.97,0.26,3.75,0.43,2.4,524,0.242,0,9.8,2.08,146,0.49,0.236,0.095,136,0.174,3.57,87,0.935,56,1.5,0.76,Vegetable
11855,"Spinach, canned, no salt added, solids and liquids",19,2.11,0.37,2.92,0,2.2,322,0.08,0,13.5,0,58,0.271,0.106,0.018,83,0.116,1.58,56,0.493,32,1.2,0.42,Vegetable
11856,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt",34,4.01,0.87,4.8,0.51,3.7,603,0.136,0,2.2,3.54,121,0.439,0.176,0.078,153,0.161,1.96,82,0.717,50,5.5,0.49,Vegetable
11857,"Squash, summer, all varieties, cooked, boiled, drained, with salt",20,0.91,0.31,4.31,2.59,1.4,11,0.065,0,5.5,0.14,20,0.513,0.041,0.044,27,0.103,0.36,24,0.213,39,0.2,0.39,Vegetable
11858,"Squash, summer, crookneck and straightneck, cooked, boiled, drained, with salt",19,1.04,0.39,3.79,2.48,1.1,56,0.078,0,11.6,0.12,23,0.507,0.025,0.043,22,0.065,0.37,16,0.157,29,0.2,0.22,Vegetable
11859,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, with salt",25,1.28,0.2,5.54,2.33,1.4,10,0.099,0,6.8,0.15,13,0.44,0.047,0.036,20,0.073,0.52,27,0.263,41,0.3,0.34,Vegetable
11860,"Squash, summer, scallop, cooked, boiled, drained, with salt",16,1.03,0.17,3.3,1.5,1.9,4,0.085,0,10.8,0.12,21,0.464,0.025,0.051,15,0.083,0.33,19,0.128,28,0.2,0.24,Vegetable
11861,"Squash, summer, zucchini, includes skin, cooked, boiled, drained, with salt",15,1.14,0.36,2.69,1.71,1,56,0.08,0,12.9,0.12,28,0.51,0.024,0.035,18,0.052,0.37,19,0.173,37,0.2,0.33,Vegetable
11862,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, with salt",14,1.15,0.13,2.97,1.69,1.3,9,0.045,0,3.7,0.12,8,0.386,0.04,0.041,17,0.047,0.48,13,0.23,25,0.2,0.2,Vegetable
11863,"Squash, winter, all varieties, cooked, baked, with salt",37,0.89,0.35,8.85,3.3,2.8,261,0.161,0,1.8,0.12,20,0.495,0.067,0.016,22,0.082,0.44,13,0.187,19,0.4,0.22,Vegetable
11864,"Squash, winter, acorn, cooked, baked, with salt",56,1.12,0.14,14.58,0,4.4,21,0.194,0,10.8,0,19,0.881,0.013,0.167,44,0.086,0.93,43,0.242,45,0.7,0.17,Vegetable
11865,"Squash, winter, acorn, cooked, boiled, mashed, with salt",34,0.67,0.08,8.79,0,2.6,13,0.117,0,6.5,0,11,0.531,0.008,0.1,26,0.052,0.56,26,0.146,27,0.4,0.11,Vegetable
11866,"Squash, winter, butternut, cooked, baked, with salt",40,0.9,0.09,10.49,1.97,3.2,558,0.124,0,15.1,1.29,19,0.969,0.017,0.072,41,0.065,0.6,29,0.172,27,0.5,0.13,Vegetable
11867,"Squash, winter, butternut, frozen, cooked, boiled, with salt",39,1.23,0.07,10.04,0,0,167,0.069,0,3.5,0,16,0.464,0.039,0.05,19,0.036,0.58,9,0.173,14,0.5,0.12,Vegetable
11868,"Squash, winter, hubbard, baked, with salt",50,2.48,0.62,10.81,4.9,4.9,335,0.172,0,9.5,0.2,16,0.558,0.047,0.074,17,0.045,0.47,22,0.17,23,0.6,0.15,Vegetable
11869,"Squash, winter, hubbard, cooked, boiled, mashed, with salt",30,1.48,0.37,6.46,2.93,2.9,200,0.103,0,6.5,0.12,10,0.334,0.028,0.042,10,0.047,0.28,13,0.126,14,0.3,0.1,Vegetable
11870,"Squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt",27,0.66,0.26,6.46,2.53,1.4,6,0.099,0,3.5,0.12,8,0.81,0.022,0.038,21,0.035,0.34,11,0.109,0,0.3,0.2,Vegetable
11871,"Succotash, (corn and limas), cooked, boiled, drained, with salt",111,5.07,0.8,24.37,0,0,15,0.116,0,8.2,0,33,1.327,0.096,0.168,17,0.179,1.52,53,0.769,117,0.6,0.63,Vegetable
