fdc_id,Calcium,Carbohydrate,Copper,Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Fiber,Folate,Folic acid,Iron,Magnesium,Niacin,Phosphorus,Protein,Retinol,Riboflavin,Selenium,Sugar,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Vitamin E,Zinc,FoV
2345075,51,3.74,0.179,19,0.04,0.07,0.03,1.6,14,0,1.8,81,0.4,46,1.8,0,0.09,0.9,1.1,0.04,306,0,0.099,30,1.89,0.36,Vegetable
2345076,54,3.9,0.186,44,0.981,0.887,0.752,1.7,11,0,1.88,84,0.396,48,1.88,12,0.089,0.9,1.15,0.038,315,0,0.115,21.9,2.33,0.38,Vegetable
2345077,232,5.42,0.046,32,0.03,0.201,0.055,4,129,0,0.47,27,0.742,25,3.02,0,0.13,1.3,0.46,0.054,251,0,0.165,35.3,2.26,0.21,Vegetable
2345078,249,5.81,0.049,34,0.032,0.215,0.059,4.3,104,0,0.5,29,0.756,27,3.24,0,0.132,1.4,0.49,0.052,256,0,0.168,26.5,2.42,0.22,Vegetable
2345079,210,7.08,0.055,36,0.02,0.209,0.06,2.8,76,0,1.12,30,0.633,27,2.96,0,0.115,1.5,0.57,0.047,573,0,0.114,26.3,1.25,0.27,Vegetable
2345080,117,2.79,0.082,19,0.02,0.119,0.069,1.3,87,0,1.5,20,0.357,21,1.35,0,0.06,0.7,0.42,0.01,296,0,0.04,14.6,1.46,0.23,Vegetable
2345081,242,5.65,0.048,58,0.97,1.023,0.778,4.2,101,0,0.49,28,0.734,26,3.15,12,0.129,1.4,0.48,0.051,260,0,0.181,25.7,2.72,0.22,Vegetable
2345082,242,5.65,0.048,58,0.97,1.023,0.778,4.2,101,0,0.49,28,0.734,26,3.15,12,0.129,1.4,0.48,0.051,260,0,0.181,25.7,2.72,0.22,Vegetable
2345083,204,6.88,0.053,58,0.893,0.96,0.728,2.7,74,0,1.09,29,0.615,26,2.88,11,0.112,1.5,0.56,0.046,568,0,0.127,25.6,1.55,0.26,Vegetable
2345084,242,5.64,0.048,61,1.29,1.466,0.484,4.2,101,0,0.49,28,0.734,26,3.14,0,0.129,1.4,0.48,0.051,248,0,0.163,25.7,2.86,0.22,Vegetable
2345085,242,5.65,0.048,54,0.651,0.58,1.072,4.2,101,0,0.49,28,0.734,27,3.16,24,0.129,1.4,0.49,0.051,273,0,0.198,25.7,2.58,0.22,Vegetable
2345086,203,6.87,0.053,61,1.19,1.372,0.455,2.7,74,0,1.09,29,0.615,26,2.88,0,0.111,1.5,0.55,0.045,557,0,0.11,25.6,1.68,0.26,Vegetable
2345087,204,6.88,0.053,55,0.595,0.548,1.002,2.7,74,0,1.08,29,0.615,27,2.89,22,0.112,1.5,0.56,0.046,579,0,0.143,25.6,1.42,0.26,Vegetable
2345088,114,2.71,0.08,44,1.184,1.279,0.462,1.3,84,0,1.46,19,0.347,20,1.31,0,0.058,0.7,0.4,0.01,287,0,0.039,14.2,1.88,0.22,Vegetable
2345089,115,2.72,0.08,38,0.592,0.459,1.007,1.3,84,0,1.46,19,0.347,21,1.33,22,0.058,0.7,0.42,0.01,310,0,0.071,14.2,1.62,0.22,Vegetable
2345090,81,5.5,0.17,32,0.239,0.228,0.023,1.1,80,0,1.3,38,1,76,2.6,0,0.26,0.9,4.4,0.08,346,0,0.247,69,0.7,0.23,Vegetable
2345091,85,5.73,0.177,58,1.188,1.051,0.745,1.1,63,0,1.36,40,0.989,79,2.72,12,0.257,0.9,4.58,0.075,354,0,0.262,50.3,1.09,0.24,Vegetable
2345092,187,9.2,0.171,45,0.014,0.306,0.17,3.5,27,0,3.1,36,0.806,66,2.7,0,0.26,0.5,0.71,0.19,508,0,0.251,35,3.44,0.41,Vegetable
2345093,195,9.58,0.178,71,0.954,1.133,0.898,3.6,21,0,3.23,38,0.797,69,2.82,12,0.257,0.5,0.74,0.178,515,0,0.266,25.5,3.95,0.43,Vegetable
2345096,45,2.98,0.084,37,0.877,0.835,0.711,2.7,76,0,0.7,13,0.302,22,1.12,11,0.06,0.2,0.23,0.057,102,0,0.032,3.2,0.73,0.67,Vegetable
2345097,235,5.16,0.085,37,0.069,0.388,0.106,4.2,74,0,1.14,31,0.906,43,2.97,0,0.212,1.1,0.74,0.077,254,0,0.163,46.6,1.66,0.3,Vegetable
2345098,169,5.75,0.069,37,0.059,0.343,0.098,2.7,67,0,1.09,26,0.508,33,2.92,0,0.114,1.2,0.78,0.053,376,0,0.088,21.2,1.54,0.28,Vegetable
2345099,228,5.02,0.084,58,0.912,1.11,0.752,4.1,72,0,1.12,31,0.881,42,2.89,11,0.207,1.1,0.72,0.075,259,0,0.175,45.3,1.94,0.29,Vegetable
2345100,228,5.02,0.084,58,0.912,1.11,0.752,4.1,72,0,1.12,31,0.881,42,2.89,11,0.207,1.1,0.72,0.075,259,0,0.175,45.3,1.94,0.29,Vegetable
2345101,164,5.59,0.067,59,0.93,1.091,0.766,2.6,65,0,1.06,25,0.493,33,2.84,11,0.111,1.1,0.76,0.052,377,0,0.102,20.6,1.84,0.27,Vegetable
2345102,114,2.71,0.08,41,0.888,0.869,0.735,1.3,84,0,1.46,19,0.347,20,1.32,11,0.058,0.7,0.41,0.01,298,0,0.055,14.2,1.76,0.22,Vegetable
2345103,254,4.42,0.053,43,0.104,0.673,0.178,4.1,62,0,1.6,33,1.18,55,2.92,0,0.347,0.9,0.8,0.113,241,0,0.147,93.4,0.66,0.39,Vegetable
2345104,272,4.74,0.057,46,0.111,0.721,0.191,4.4,50,0,1.72,35,1.202,59,3.13,0,0.353,1,0.86,0.109,245,0,0.15,70.1,0.71,0.42,Vegetable
2345105,150,5.28,0.067,44,0.092,0.595,0.158,2.3,65,0,0.84,25,0.456,42,2.93,0,0.14,1,1.12,0.063,146,0,0.063,17.7,1.6,0.27,Vegetable
2345106,117,2.79,0.082,19,0.02,0.119,0.069,1.3,87,0,1.5,20,0.357,21,1.35,0,0.06,0.7,0.42,0.01,296,0,0.04,14.6,1.46,0.23,Vegetable
2345107,265,4.61,0.055,69,1.047,1.515,0.906,4.3,48,0,1.67,34,1.167,58,3.05,12,0.343,0.9,0.84,0.106,251,0,0.163,68.1,1.05,0.41,Vegetable
